Filesystem      Size  Used Avail Use% Mounted on
/dev/sdd       1007G  1.6G  955G   1% /
rootfs          3.9G  2.7M  3.9G   1% /init
none            3.9G     0  3.9G   0% /dev/shm
none            3.9G  552K  3.9G   1% /run
none            3.9G     0  3.9G   0% /run/lock
none            3.9G   76K  3.9G   1% /run/user
drivers         261G  210G   52G  81% /usr/lib/wsl/drivers
none            3.9G     0  3.9G   0% /usr/lib/wsl/lib
none            3.9G  4.0K  3.9G   1% /mnt/wsl
none            3.9G   76K  3.9G   1% /mnt/wslg/versions.txt
none            3.9G   76K  3.9G   1% /mnt/wslg/doc
none            3.9G     0  3.9G   0% /usr/lib/modules/6.6.87.2-microsoft-standard-WSL2
C:\             261G  210G   52G  81% /mnt/c
D:\             215G   65G  150G  31% /mnt/d
tmpfs           781M   20K  781M   1% /run/user/1000
tmpfs           781M   20K  781M   1% /run/user/1001
